2026-04-12 06:44:52 | strat_006 | STARTED | params={'run_id': 'strat_006', 'entry_time': '09:21:30', 'exit_time': '15:21:30', 'client_db_id': 5, 'client_id': 'CLI_100', 'strategy_id': 'NIFTY_CE_PE', 'tranche': 'T1', 'broker': 'zerodha', 'api_key': 'api key', 'access_token': 'access token', 'instrument': 'NIFTY', 'no_of_lots': 10, 'ce_prem': 120.5, 'pe_prem': 95.0}
2026-04-12 06:44:52 | strat_006 | WAITING | entry_time=09:21:30 (in 9397s)
2026-04-12 06:49:52 | strat_006 | WAITING | entry_time=09:21:30 (in 9097s)
2026-04-12 06:54:52 | strat_006 | WAITING | entry_time=09:21:30 (in 8797s)
2026-04-12 06:59:52 | strat_006 | WAITING | entry_time=09:21:30 (in 8497s)
2026-04-12 07:04:52 | strat_006 | WAITING | entry_time=09:21:30 (in 8197s)
2026-04-12 07:09:52 | strat_006 | WAITING | entry_time=09:21:30 (in 7897s)
2026-04-12 07:14:52 | strat_006 | WAITING | entry_time=09:21:30 (in 7597s)
2026-04-12 07:19:52 | strat_006 | WAITING | entry_time=09:21:30 (in 7297s)
2026-04-12 07:24:52 | strat_006 | WAITING | entry_time=09:21:30 (in 6997s)
2026-04-12 07:29:52 | strat_006 | WAITING | entry_time=09:21:30 (in 6697s)
2026-04-12 07:34:52 | strat_006 | WAITING | entry_time=09:21:30 (in 6397s)
2026-04-12 07:39:52 | strat_006 | WAITING | entry_time=09:21:30 (in 6097s)
2026-04-12 07:44:52 | strat_006 | WAITING | entry_time=09:21:30 (in 5797s)
2026-04-12 07:49:52 | strat_006 | WAITING | entry_time=09:21:30 (in 5497s)
2026-04-12 07:54:52 | strat_006 | WAITING | entry_time=09:21:30 (in 5197s)
2026-04-12 07:59:53 | strat_006 | WAITING | entry_time=09:21:30 (in 4896s)
2026-04-12 08:04:53 | strat_006 | WAITING | entry_time=09:21:30 (in 4596s)
2026-04-12 08:09:53 | strat_006 | WAITING | entry_time=09:21:30 (in 4296s)
2026-04-12 08:14:53 | strat_006 | WAITING | entry_time=09:21:30 (in 3996s)
2026-04-12 08:19:53 | strat_006 | WAITING | entry_time=09:21:30 (in 3696s)
2026-04-12 08:24:53 | strat_006 | WAITING | entry_time=09:21:30 (in 3396s)
2026-04-12 08:29:53 | strat_006 | WAITING | entry_time=09:21:30 (in 3096s)
2026-04-12 08:34:53 | strat_006 | WAITING | entry_time=09:21:30 (in 2796s)
2026-04-12 08:39:53 | strat_006 | WAITING | entry_time=09:21:30 (in 2496s)
2026-04-12 08:44:53 | strat_006 | WAITING | entry_time=09:21:30 (in 2196s)
2026-04-12 08:49:53 | strat_006 | WAITING | entry_time=09:21:30 (in 1896s)
2026-04-12 08:54:53 | strat_006 | WAITING | entry_time=09:21:30 (in 1596s)
2026-04-12 08:59:53 | strat_006 | WAITING | entry_time=09:21:30 (in 1296s)
2026-04-12 09:04:53 | strat_006 | WAITING | entry_time=09:21:30 (in 996s)
2026-04-12 09:09:53 | strat_006 | WAITING | entry_time=09:21:30 (in 696s)
2026-04-12 09:14:53 | strat_006 | WAITING | entry_time=09:21:30 (in 396s)
2026-04-12 09:19:53 | strat_006 | WAITING | entry_time=09:21:30 (in 96s)
2026-04-12 09:21:31 | strat_006 | ACTIVE | trading window open
2026-04-12 09:21:31 | strat_006 | HEARTBEAT | now=09:21:31 | remaining=21598s | lots=10 | instrument=NIFTY
2026-04-12 09:26:31 | strat_006 | HEARTBEAT | now=09:26:31 | remaining=21298s | lots=10 | instrument=NIFTY
2026-04-12 09:31:31 | strat_006 | HEARTBEAT | now=09:31:31 | remaining=20998s | lots=10 | instrument=NIFTY
2026-04-12 09:36:31 | strat_006 | HEARTBEAT | now=09:36:31 | remaining=20698s | lots=10 | instrument=NIFTY
2026-04-12 09:41:31 | strat_006 | HEARTBEAT | now=09:41:31 | remaining=20398s | lots=10 | instrument=NIFTY
2026-04-12 09:46:31 | strat_006 | HEARTBEAT | now=09:46:31 | remaining=20098s | lots=10 | instrument=NIFTY
2026-04-12 09:51:31 | strat_006 | HEARTBEAT | now=09:51:31 | remaining=19798s | lots=10 | instrument=NIFTY
2026-04-12 09:56:31 | strat_006 | HEARTBEAT | now=09:56:31 | remaining=19498s | lots=10 | instrument=NIFTY
2026-04-12 10:01:31 | strat_006 | HEARTBEAT | now=10:01:31 | remaining=19198s | lots=10 | instrument=NIFTY
2026-04-12 10:06:31 | strat_006 | HEARTBEAT | now=10:06:31 | remaining=18898s | lots=10 | instrument=NIFTY
2026-04-12 10:11:31 | strat_006 | HEARTBEAT | now=10:11:31 | remaining=18598s | lots=10 | instrument=NIFTY
2026-04-12 10:16:31 | strat_006 | HEARTBEAT | now=10:16:31 | remaining=18298s | lots=10 | instrument=NIFTY
2026-04-12 10:21:31 | strat_006 | HEARTBEAT | now=10:21:31 | remaining=17998s | lots=10 | instrument=NIFTY
2026-04-12 10:26:31 | strat_006 | HEARTBEAT | now=10:26:31 | remaining=17698s | lots=10 | instrument=NIFTY
2026-04-12 10:31:31 | strat_006 | HEARTBEAT | now=10:31:31 | remaining=17398s | lots=10 | instrument=NIFTY
2026-04-12 10:36:31 | strat_006 | HEARTBEAT | now=10:36:31 | remaining=17098s | lots=10 | instrument=NIFTY
2026-04-12 10:41:31 | strat_006 | HEARTBEAT | now=10:41:31 | remaining=16798s | lots=10 | instrument=NIFTY
2026-04-12 10:46:31 | strat_006 | HEARTBEAT | now=10:46:31 | remaining=16498s | lots=10 | instrument=NIFTY
2026-04-12 10:51:31 | strat_006 | HEARTBEAT | now=10:51:31 | remaining=16198s | lots=10 | instrument=NIFTY
2026-04-12 10:56:31 | strat_006 | HEARTBEAT | now=10:56:31 | remaining=15898s | lots=10 | instrument=NIFTY
2026-04-12 11:01:31 | strat_006 | HEARTBEAT | now=11:01:31 | remaining=15598s | lots=10 | instrument=NIFTY
2026-04-12 11:06:31 | strat_006 | HEARTBEAT | now=11:06:31 | remaining=15298s | lots=10 | instrument=NIFTY
2026-04-12 11:11:31 | strat_006 | HEARTBEAT | now=11:11:31 | remaining=14998s | lots=10 | instrument=NIFTY
2026-04-12 11:16:31 | strat_006 | HEARTBEAT | now=11:16:31 | remaining=14698s | lots=10 | instrument=NIFTY
2026-04-12 11:21:31 | strat_006 | HEARTBEAT | now=11:21:31 | remaining=14398s | lots=10 | instrument=NIFTY
2026-04-12 11:26:31 | strat_006 | HEARTBEAT | now=11:26:31 | remaining=14098s | lots=10 | instrument=NIFTY
2026-04-12 11:31:31 | strat_006 | HEARTBEAT | now=11:31:31 | remaining=13798s | lots=10 | instrument=NIFTY
2026-04-12 11:36:31 | strat_006 | HEARTBEAT | now=11:36:31 | remaining=13498s | lots=10 | instrument=NIFTY
